geneSymbol,DSI,DPI,score,EI,NofPmids,diseaseClass,diseaseType,filtered_diseaseClass
A1BG,0.7,0.538,0.3,1.0,1,"C23,C06",phenotype,"C23,C06"
A1BG,0.7,0.538,0.3,1.0,1,F03,disease,F03
A2M,0.529,0.769,0.5,0.769,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.31,1.0,1,"C06,C04",disease,"C06,C04"
A2M,0.529,0.769,0.3,1.0,1,"C06,C04",group,"C06,C04"
A2M,0.529,0.769,0.3,1.0,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.3,1.0,2,F01,disease,F01
A2M,0.529,0.769,0.3,1.0,2,F03,disease,F03
A2M,0.529,0.769,0.3,1.0,1,"C16,C06,C18,C10",disease,"C16,C06,C18,C10"
A2M,0.529,0.769,0.3,1.0,1,"C13,C12",disease,"C13,C12"
A2M,0.529,0.769,0.3,1.0,1,"C23,C06",disease,"C23,C06"
A2M,0.529,0.769,0.3,1.0,1,"C23,C06",disease,"C23,C06"
A2M,0.529,0.769,0.32,1.0,1,C08,group,C08
A2M,0.529,0.769,0.3,1.0,2,"C04,C08",group,"C04,C08"
A2M,0.529,0.769,0.51,1.0,1,"C13,C12",group,"C13,C12"
A2M,0.529,0.769,0.5,1.0,1,"C06,C04",disease,"C06,C04"
A2M,0.529,0.769,0.3,1.0,1,"C23,C06",disease,"C23,C06"
A2M,0.529,0.769,0.3,1.0,2,"C04,C08",disease,"C04,C08"
A2M,0.529,0.769,0.31,1.0,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.37,0.8,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.3,1.0,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.3,1.0,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.3,1.0,3,"C10,F03",disease,"C10,F03"
A2M,0.529,0.769,0.3,1.0,1,"C16,C06,C18,C10",disease,"C16,C06,C18,C10"
A2M,0.529,0.769,0.3,1.0,1,"C13,C12",disease,"C13,C12"
A2M,0.529,0.769,0.51,1.0,1,"C06,C04",disease,"C06,C04"
A2M,0.529,0.769,0.3,1.0,1,"C13,C12",disease,"C13,C12"
A2M,0.529,0.769,0.31,1.0,0,C08,disease,C08
NAT1,0.536,0.846,0.31,1.0,1,"C25,F03",disease,"C25,F03"
NAT1,0.536,0.846,0.3,1.0,1,C23,group,C23
NAT1,0.536,0.846,0.4,0.75,1,"C04,C13,C12",disease,"C04,C13,C12"
NAT1,0.536,0.846,0.4,0.76,1,"C04,C13,C12",disease,"C04,C13,C12"
NAT1,0.536,0.846,0.4,1.0,1,C04,group,C04
NAT1,0.536,0.846,0.3,1.0,1,C23,group,C23
NAT1,0.536,0.846,0.3,1.0,1,C25,group,C25
NAT1,0.536,0.846,0.4,1.0,1,C04,group,C04
NAT1,0.536,0.846,0.3,1.0,1,"C17,C24",disease,C17
NAT1,0.536,0.846,0.32,1.0,1,"C04,C12",group,"C04,C12"
NAT1,0.536,0.846,0.3,1.0,1,C25,group,C25
NAT1,0.536,0.846,0.3,1.0,1,"C17,C24",disease,C17
NAT1,0.536,0.846,0.3,1.0,1,C04,group,C04
NAT1,0.536,0.846,0.36,0.857,1,"C04,C12",disease,"C04,C12"
NAT2,0.451,0.885,0.4,0.939,5,"C04,C13,C12",disease,"C04,C13,C12"
NAT2,0.451,0.885,0.4,0.935,5,"C04,C13,C12",disease,"C04,C13,C12"
NAT2,0.451,0.885,0.4,0.857,1,"C04,C17",disease,"C04,C17"
NAT2,0.451,0.885,0.31,1.0,1,C14,disease,C14
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,3,"C20,C25",group,"C20,C25"
NAT2,0.451,0.885,0.3,1.0,2,C25,group,C25
NAT2,0.451,0.885,0.3,1.0,4,"C06,C25",disease,"C06,C25"
NAT2,0.451,0.885,0.36,0.857,1,"C04,C20,C15",disease,"C04,C20,C15"
NAT2,0.451,0.885,0.3,1.0,1,"C04,C20,C15",disease,"C04,C20,C15"
NAT2,0.451,0.885,0.3,1.0,1,C15,disease,C15
NAT2,0.451,0.885,0.3,1.0,1,"C06,C04",group,"C06,C04"
NAT2,0.451,0.885,0.31,1.0,1,"C16,C10",group,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C17,C24",disease,C17
NAT2,0.451,0.885,0.33,1.0,4,"C04,C12",group,"C04,C12"
NAT2,0.451,0.885,0.3,1.0,2,C25,group,C25
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C17,C24",disease,C17
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.3,1.0,1,"C06,C04",disease,"C06,C04"
NAT2,0.451,0.885,0.34,0.75,1,"C04,C08",disease,"C04,C08"
NAT2,0.451,0.885,0.4,0.882,4,"C04,C12",disease,"C04,C12"
NAT2,0.451,0.885,0.4,0.863,1,"C04,C17",disease,"C04,C17"
NAT2,0.451,0.885,0.3,1.0,1,"C16,C10",disease,"C16,C10"
NAT2,0.451,0.885,0.4,1.0,4,"C06,C25",phenotype,"C06,C25"
NAT2,0.451,0.885,0.3,1.0,1,"C04,C17",disease,"C04,C17"
NAT2,0.451,0.885,0.33,1.0,4,"C06,C25",disease,"C06,C25"
NAT2,0.451,0.885,0.4,1.0,1,"C04,C17",group,"C04,C17"
NAT2,0.451,0.885,0.31,1.0,1,C14,disease,C14
NAT2,0.451,0.885,0.3,1.0,1,"C04,C20,C15",disease,"C04,C20,C15"
NAT2,0.451,0.885,0.39,0.9,1,"C06,C04",disease,"C06,C04"
NAT2,0.451,0.885,0.3,1.0,4,"C06,C25",disease,"C06,C25"
NAT2,0.451,0.885,0.3,1.0,4,"C06,C25",disease,"C06,C25"
NAT2,0.451,0.885,0.3,1.0,4,"C06,C25",disease,"C06,C25"
NAT2,0.451,0.885,0.3,1.0,1,"C04,C17",disease,"C04,C17"
SERPINA3,0.486,0.846,0.3,1.0,3,"C16,C18",disease,"C16,C18"
SERPINA3,0.486,0.846,0.3,1.0,1,"C04,C12",group,"C04,C12"
SERPINA3,0.486,0.846,0.34,1.0,1,"C04,C12",disease,"C04,C12"
AADAC,0.631,0.615,0.3,1.0,1,"C23,C06",disease,"C23,C06"
AANAT,0.67,0.692,0.3,1.0,1,F03,disease,F03
AANAT,0.67,0.692,0.3,1.0,1,F01,disease,F01
AANAT,0.67,0.692,0.3,1.0,1,F03,disease,F03
AANAT,0.67,0.692,0.31,1.0,1,"C10,F03,C24",disease,"C10,F03"
AANAT,0.67,0.692,0.3,1.0,1,"C10,F03,C24",disease,"C10,F03"
AANAT,0.67,0.692,0.3,1.0,1,"C10,F03,C24",disease,"C10,F03"
AANAT,0.67,0.692,0.3,1.0,1,"C10,F03,C24",disease,"C10,F03"
AANAT,0.67,0.692,0.3,1.0,1,"C10,F03,C24",disease,"C10,F03"
AANAT,0.67,0.692,0.3,1.0,1,"C10,F03,C24",group,"C10,F03"
ABAT,0.628,0.538,0.31,1.0,1,F03,disease,F03
ABAT,0.628,0.538,0.31,1.0,1,C06,disease,C06
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.4,1.0,1,"C23,C10,F01",phenotype,"C23,C10,F01"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C06",disease,"C23,C06"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10,F01",group,"C23,C10,F01"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.41,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.4,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",phenotype,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
ABAT,0.628,0.538,0.3,1.0,1,"C23,C10",disease,"C23,C10"
